thread date nviruses state counts
0 0 1 "Susceptible" 9900
0 0 1 "Infected" 100
0 0 1 "Recovered" 0
0 1 1 "Susceptible" 9552
0 1 1 "Infected" 412
0 1 1 "Recovered" 36
0 2 1 "Susceptible" 9166
0 2 1 "Infected" 678
0 2 1 "Recovered" 156
0 3 1 "Susceptible" 8746
0 3 1 "Infected" 889
0 3 1 "Recovered" 365
0 4 1 "Susceptible" 8288
0 4 1 "Infected" 1078
0 4 1 "Recovered" 634
0 5 1 "Susceptible" 7807
0 5 1 "Infected" 1246
0 5 1 "Recovered" 947
0 6 1 "Susceptible" 7293
0 6 1 "Infected" 1374
0 6 1 "Recovered" 1333
0 7 1 "Susceptible" 6779
0 7 1 "Infected" 1455
0 7 1 "Recovered" 1766
0 8 1 "Susceptible" 6258
0 8 1 "Infected" 1535
0 8 1 "Recovered" 2207
0 9 1 "Susceptible" 5725
0 9 1 "Infected" 1612
0 9 1 "Recovered" 2663
0 10 1 "Susceptible" 5182
0 10 1 "Infected" 1662
0 10 1 "Recovered" 3156
0 11 1 "Susceptible" 4633
0 11 1 "Infected" 1701
0 11 1 "Recovered" 3666
0 12 1 "Susceptible" 4110
0 12 1 "Infected" 1772
0 12 1 "Recovered" 4118
0 13 1 "Susceptible" 3642
0 13 1 "Infected" 1747
0 13 1 "Recovered" 4611
0 14 1 "Susceptible" 3209
0 14 1 "Infected" 1633
0 14 1 "Recovered" 5158
0 15 1 "Susceptible" 2836
0 15 1 "Infected" 1503
0 15 1 "Recovered" 5661
0 16 1 "Susceptible" 2502
0 16 1 "Infected" 1353
0 16 1 "Recovered" 6145
0 17 1 "Susceptible" 2177
0 17 1 "Infected" 1272
0 17 1 "Recovered" 6551
0 18 1 "Susceptible" 1878
0 18 1 "Infected" 1217
0 18 1 "Recovered" 6905
0 19 1 "Susceptible" 1607
0 19 1 "Infected" 1147
0 19 1 "Recovered" 7246
0 20 1 "Susceptible" 1337
0 20 1 "Infected" 1072
0 20 1 "Recovered" 7591
0 21 1 "Susceptible" 1126
0 21 1 "Infected" 961
0 21 1 "Recovered" 7913
0 22 1 "Susceptible" 925
0 22 1 "Infected" 839
0 22 1 "Recovered" 8236
0 23 1 "Susceptible" 750
0 23 1 "Infected" 764
0 23 1 "Recovered" 8486
0 24 1 "Susceptible" 607
0 24 1 "Infected" 681
0 24 1 "Recovered" 8712
0 25 1 "Susceptible" 491
0 25 1 "Infected" 578
0 25 1 "Recovered" 8931
0 26 1 "Susceptible" 399
0 26 1 "Infected" 497
0 26 1 "Recovered" 9104
0 27 1 "Susceptible" 336
