date nvariants nhealthy ninfected nrecovered ndeceased
0 1 993 7 0 0
1 1 984 16 6 0
2 1 946 54 16 0
3 1 838 162 54 0
4 2 635 364 161 1
5 4 542 457 423 1
6 5 506 491 741 3
7 6 493 503 1089 4
8 6 543 453 1474 4
9 7 558 438 1839 4
10 9 566 430 2188 4
11 11 550 446 2532 4
12 11 521 474 2879 5
13 12 551 444 3257 5
14 12 555 436 3608 9
15 12 555 436 3957 9
16 12 565 424 4319 11
17 13 526 463 4658 11
18 13 504 485 5033 11
19 13 481 506 5425 13
20 15 473 514 5836 13
21 16 452 535 6244 13
22 18 485 502 6679 13
23 19 470 515 7087 15
24 20 476 509 7505 15
25 20 466 518 7924 16
26 21 451 530 8333 19
27 22 464 515 8757 21
28 22 478 500 9182 22
29 22 465 513 9592 22
30 22 489 488 10013 23
31 22 454 523 10405 23
32 22 456 520 10824 24
33 22 455 520 11243 25
34 22 483 491 11674 26
35 22 467 506 12081 27
36 22 452 520 12493 28
37 22 464 508 12923 28
38 22 478 494 13342 28
39 22 442 530 13737 28
40 22 483 489 14175 28
41 22 460 511 14585 29
42 22 472 499 15018 29
43 22 470 500 15435 30
44 22 465 505 15849 30
45 22 452 517 16249 31
46 23 478 489 16676 33
47 23 456 510 17073 34
48 23 455 511 17488 34
49 23 468 496 17911 36
50 23 460 503 18321 37
51 23 473 489 18735 38
52 23 444 518 19128 38
53 23 494 466 19564 40
54 23 440 519 19942 41
55 23 468 490 20371 42
56 23 437 520 20756 43
57 24 473 484 21189 43
58 25 441 514 21573 45
59 25 491 464 22011 45
60 25 416 537 22365 47
61 26 483 470 22804 47
62 26 446 507 23187 47
63 26 456 497 23591 47
64 26 444 509 23988 47
65 26 467 485 24407 48
66 26 443 509 24797 48
67 26 452 500 25203 48
68 27 484 468 25632 48
69 27 468 483 26018 49
70 28 448 502 26417 50
71 28 460 488 26826 52
72 30 423 522 27213 55
73 30 470 473 27638 57
74 30 459 483 28028 58
75 30 470 472 28433 58
76 30 438 504 28817 58
77 31 448 493 29217 59
78 32 460 480 29617 60
79 33 492 448 30021 60
80 34 442 497 30385 61
81 36 463 476 30791 61
82 36 448 491 31172 61
83 36 452 486 31569 62
84 36 452 485 31963 63
85 36 445 492 32352 63
86 36 449 487 32745 64
87 37 431 505 33126 64
88 37 424 511 33513 65
89 38 459 476 33923 65
90 38 419 515 34289 66
91 38 445 489 34693 66
92 39 466 468 35098 66
93 39 425 508 35470 67
94 39 468 465 35887 67
95 40 420 512 36257 68
96 42 447 484 36660 69
97 42 433 498 37048 69
98 44 431 500 37431 69
99 45 435 494 37820 71
100 45 441 488 38217 71
101 45 435 491 38612 74
102 46 428 497 38992 75
103 46 437 487 39379 76
104 48 425 499 39752 76
105 48 417 507 40133 76
106 48 433 490 40525 77
107 48 440 482 40918 78
108 49 441 479 41304 80
109 49 417 503 41673 80
110 51 432 488 42063 80
111 52 434 486 42452 80
112 53 429 491 42830 80
113 53 441 478 43219 81
114 54 420 499 43587 81
115 54 426 493 43977 81
116 54 422 497 44359 81
117 54 413 506 44732 81
118 54 432 485 45132 83
119 55 417 499 45504 84
120 55 427 488 45886 85
121 55 446 469 46273 85
122 55 440 474 46659 86
123 55 420 492 47029 88
124 55 427 485 47415 88
125 55 439 473 47809 88
126 55 412 498 48172 90
127 56 432 478 48564 90
128 57 415 493 48932 92
129 57 430 478 49318 92
130 57 428 479 49702 93
131 57 402 505 50062 93
132 57 444 463 50462 93
133 57 405 502 50812 93
