date id ninfected nrecovered ndeceased
0 2 1 0 0
0 1 4 0 0
0 0 4925 62 0
1 5 11 0 0
1 3 4 0 0
1 4 15 0 0
1 2 10 0 0
1 1 15 4 0
1 0 2363 2601 40
2 5 25 7 0
2 3 20 3 0
2 4 40 7 0
2 2 66 4 0
2 1 17 14 0
2 0 3376 3975 52
3 5 19 27 0
3 3 32 17 0
3 4 47 30 0
3 2 33 53 0
3 1 18 26 0
3 0 2532 6102 74
4 5 19 37 0
4 3 59 33 2
4 4 72 59 1
4 2 95 75 0
4 1 29 40 0
4 0 2871 7764 100
5 8 2 0 0
5 7 1 0 0
5 9 2 0 0
5 6 1 0 0
5 5 29 49 0
5 3 77 66 3
5 4 109 95 2
5 2 82 146 0
5 1 34 61 0
5 0 2378 9751 121
6 8 3 0 0
6 7 13 1 0
6 9 0 2 0
6 6 0 1 0
6 5 40 67 0
6 3 113 117 3
6 4 112 162 3
6 2 114 199 4
6 1 24 89 0
6 0 2501 11460 140
7 10 1 0 0
7 8 12 3 0
7 7 17 9 0
7 9 1 2 0
7 6 0 1 0
7 5 41 93 0
7 3 133 196 3
7 4 116 237 3
7 2 116 284 4
7 1 39 106 0
7 0 2205 13316 160
8 11 4 0 0
8 10 0 1 0
8 8 20 8 0
8 12 4 0 0
8 7 32 23 1
8 9 4 3 0
8 6 0 1 0
8 5 43 124 0
8 3 160 296 5
8 4 106 322 4
8 2 177 370 4
8 1 49 137 0
8 0 2204 14976 167
9 13 2 0 0
9 1 60 172 0
9 4 155 391 5
9 3 170 413 6
9 5 59 154 0
9 9 6 6 0
9 7 46 39 1
9 6 0 1 0
9 8 12 21 0
9 0 2001 16648 179
9 10 0 1 0
9 2 189 506 5
9 12 2 2 0
9 11 6 2 0
10 16 1 0 0
10 13 7 0 0
10 1 57 218 0
10 4 172 495 6
10 3 205 534 6
10 5 54 193 0
10 9 18 10 0
10 7 52 69 1
10 15 1 0 0
10 14 1 0 0
10 6 0 1 0
10 8 24 27 0
10 0 1936 18168 198
10 10 1 1 0
10 2 208 655 6
10 12 14 3 0
10 11 5 8 0
11 17 1 0 0
11 16 0 0 1
11 13 8 4 0
11 1 40 262 1
11 4 201 619 10
11 3 214 676 8
11 5 63 226 2
11 9 19 23 0
11 7 84 97 1
11 15 0 1 0
11 14 5 1 0
11 6 0 1 0
11 8 33 41 0
11 0 1735 19661 215
11 10 1 2 0
11 2 248 815 11
11 12 10 13 1
11 11 16 13 0
12 18 1 0 0
12 17 0 1 0
12 16 0 0 1
