virus source source_exposure_date gentime
0 7129 0 1
0 4284 0 1
0 6907 0 1
0 7189 0 1
0 4909 0 1
0 7796 0 1
0 4106 0 1
0 5792 0 1
0 1398 0 1
0 4006 0 1
0 6266 0 1
0 3237 0 1
0 2444 0 1
0 6938 0 1
0 5930 0 1
0 6308 0 1
0 4395 0 1
0 835 0 1
0 7110 0 1
0 4270 0 1
0 2971 0 1
0 4910 0 1
0 7386 0 1
0 3569 0 1
0 4162 0 1
0 6530 0 1
0 3728 0 1
0 2338 0 1
0 9852 0 1
0 7637 0 1
0 7746 0 1
0 278 0 1
0 1733 0 1
0 1535 0 1
0 768 0 1
0 8867 0 1
0 7476 0 1
0 6908 0 1
0 5098 0 1
0 4624 0 1
0 5661 0 1
0 3013 0 1
0 4952 0 1
0 6803 0 1
0 9126 0 1
0 1084 0 1
0 4932 0 1
0 2317 0 1
0 4347 0 1
0 7478 0 1
0 268 1 1
0 269 1 1
0 270 1 1
0 271 1 1
0 272 1 1
0 273 1 1
0 274 1 1
0 275 1 1
0 276 1 1
0 277 1 1
0 279 1 -1
0 280 1 -1
0 281 1 -1
0 282 1 -1
0 283 1 -1
0 284 1 -1
0 285 1 -1
0 286 1 -1
0 287 1 -1
0 288 1 1
0 758 1 1
0 759 1 1
0 760 1 1
0 761 1 1
0 762 1 1
0 763 1 1
0 764 1 1
0 765 1 1
0 766 1 1
0 767 1 1
0 769 1 -1
0 770 1 -1
0 771 1 -1
0 772 1 -1
0 773 1 -1
0 774 1 -1
0 775 1 -1
0 776 1 -1
0 777 1 -1
0 778 1 1
0 825 1 1
0 826 1 1
0 827 1 1
0 828 1 1
0 829 1 1
0 830 1 1
0 831 1 1
0 832 1 1
0 833 1 1
0 834 1 1
0 836 1 -1
0 837 1 -1
0 838 1 -1
0 839 1 -1
0 840 1 -1
0 841 1 -1
0 842 1 -1
0 843 1 -1
0 844 1 -1
0 845 1 1
0 1074 1 1
0 1075 1 1
0 1076 1 1
0 1077 1 1
0 1078 1 1
0 1079 1 1
0 1080 1 1
0 1081 1 1
0 1082 1 1
0 1083 1 1
0 1085 1 -1
0 1086 1 -1
0 1087 1 -1
0 1088 1 -1
0 1089 1 -1
0 1090 1 -1
0 1091 1 -1
0 1092 1 -1
0 1093 1 -1
0 1094 1 1
0 1388 1 1
0 1389 1 1
0 1390 1 1
0 1391 1 1
0 1392 1 1
0 1393 1 1
0 1394 1 1
0 1395 1 1
0 1396 1 1
0 1397 1 1
0 1399 1 -1
0 1400 1 -1
0 1401 1 -1
0 1402 1 -1
0 1403 1 -1
0 1404 1 -1
0 1405 1 -1
0 1406 1 -1
0 1407 1 -1
0 1408 1 1
0 1525 1 1
0 1526 1 1
0 1527 1 1
0 1528 1 1
0 1529 1 1
0 1530 1 1
0 1531 1 1
0 1532 1 1
0 1533 1 1
0 1534 1 1
0 1536 1 -1
0 1537 1 -1
0 1538 1 -1
0 1539 1 -1
0 1540 1 -1
0 1541 1 -1
0 1542 1 -1
0 1543 1 -1
0 1544 1 -1
0 1545 1 1
0 1723 1 1
0 1724 1 1
0 1725 1 1
0 1726 1 1
0 1727 1 1
0 1728 1 1
0 1729 1 1
0 1730 1 1
0 1731 1 1
0 1732 1 1
0 1734 1 -1
0 1735 1 -1
0 1736 1 -1
0 1737 1 -1
0 1738 1 -1
0 1739 1 -1
0 1740 1 -1
0 1741 1 -1
0 1742 1 -1
0 1743 1 1
0 2307 1 1
0 2308 1 1
0 2309 1 1
0 2310 1 1
0 2311 1 1
0 2312 1 1
0 2313 1 1
0 2314 1 1
0 2315 1 1
0 2316 1 1
0 2318 1 -1
0 2319 1 -1
0 2320 1 -1
0 2321 1 -1
0 2322 1 -1
0 2323 1 -1
0 2324 1 -1
0 2325 1 -1
0 2326 1 -1
0 2327 1 -1
0 2328 1 -1
0 2329 1 -1
0 2330 1 -1
0 2331 1 -1
0 2332 1 -1
0 2333 1 -1
0 2334 1 -1
0 2335 1 -1
0 2336 1 -1
0 2337 1 -1
0 2339 1 -1
0 2340 1 -1
0 2341 1 -1
0 2342 1 -1
0 2343 1 -1
0 2344 1 -1
0 2345 1 -1
0 2346 1 -1
0 2347 1 -1
0 2348 1 1
0 2434 1 1
0 2435 1 1
0 2436 1 1
0 2437 1 1
0 2438 1 1
0 2439 1 1
0 2440 1 1
0 2441 1 1
0 2442 1 1
0 2443 1 1
0 2445 1 -1
0 2446 1 -1
0 2447 1 -1
0 2448 1 -1
0 2449 1 -1
0 2450 1 -1
0 2451 1 -1
0 2452 1 -1
0 2453 1 -1
0 2454 1 1
0 2961 1 1
0 2962 1 1
0 2963 1 1
0 2964 1 1
0 2965 1 1
0 2966 1 1
0 2967 1 1
0 2968 1 1
0 2969 1 1
0 2970 1 1
0 2972 1 -1
0 2973 1 -1
0 2974 1 -1
0 2975 1 -1
0 2976 1 -1
0 2977 1 -1
0 2978 1 -1
0 2979 1 -1
0 2980 1 -1
0 2981 1 1
0 3003 1 1
0 3004 1 1
0 3005 1 1
0 3006 1 1
0 3007 1 1
0 3008 1 1
0 3009 1 1
0 3010 1 1
0 3011 1 1
0 3012 1 1
0 3014 1 -1
0 3015 1 -1
0 3016 1 -1
0 3017 1 -1
0 3018 1 -1
0 3019 1 -1
0 3020 1 -1
0 3021 1 -1
0 3022 1 -1
0 3023 1 1
0 3227 1 1
0 3228 1 1
0 3229 1 1
0 3230 1 1
0 3231 1 1
0 3232 1 1
0 3233 1 1
0 3234 1 1
0 3235 1 1
0 3236 1 1
0 3238 1 -1
0 3239 1 -1
0 3240 1 -1
0 3241 1 -1
0 3242 1 -1
0 3243 1 -1
0 3244 1 -1
0 3245 1 -1
0 3246 1 -1
0 3247 1 1
0 3559 1 1
0 3560 1 1
0 3561 1 1
0 3562 1 1
0 3563 1 1
0 3564 1 1
0 3565 1 1
0 3566 1 1
0 3567 1 1
0 3568 1 1
0 3570 1 -1
0 3571 1 -1
0 3572 1 -1
0 3573 1 -1
0 3574 1 -1
0 3575 1 -1
0 3576 1 -1
0 3577 1 -1
0 3578 1 -1
0 3579 1 1
0 3718 1 1
0 3719 1 1
0 3720 1 1
0 3721 1 1
0 3722 1 1
0 3723 1 1
0 3724 1 1
0 3725 1 1
0 3726 1 1
0 3727 1 1
0 3729 1 -1
0 3730 1 -1
0 3731 1 -1
0 3732 1 -1
0 3733 1 -1
0 3734 1 -1
0 3735 1 -1
0 3736 1 -1
0 3737 1 -1
0 3738 1 1
0 3996 1 1
0 3997 1 1
0 3998 1 1
0 3999 1 1
0 4000 1 1
0 4001 1 1
0 4002 1 1
0 4003 1 1
0 4004 1 1
0 4005 1 1
0 4007 1 -1
0 4008 1 -1
0 4009 1 -1
0 4010 1 -1
0 4011 1 -1
0 4012 1 -1
0 4013 1 -1
0 4014 1 -1
0 4015 1 -1
0 4016 1 1
0 4096 1 1
0 4097 1 1
0 4098 1 1
0 4099 1 1
0 4100 1 1
0 4101 1 1
0 4102 1 1
0 4103 1 1
0 4104 1 1
0 4105 1 1
0 4107 1 -1
0 4108 1 -1
0 4109 1 -1
0 4110 1 -1
0 4111 1 -1
0 4112 1 -1
0 4113 1 -1
0 4114 1 -1
0 4115 1 -1
0 4116 1 1
0 4152 1 1
0 4153 1 1
0 4154 1 1
0 4155 1 1
0 4156 1 1
0 4157 1 1
0 4158 1 1
0 4159 1 1
0 4160 1 1
0 4161 1 1
0 4163 1 -1
0 4164 1 -1
0 4165 1 -1
0 4166 1 -1
0 4167 1 -1
0 4168 1 -1
0 4169 1 -1
0 4170 1 -1
0 4171 1 -1
0 4172 1 1
0 4260 1 1
0 4261 1 1
0 4262 1 1
0 4263 1 1
0 4264 1 1
0 4265 1 1
0 4266 1 1
0 4267 1 1
0 4268 1 1
0 4269 1 1
0 4271 1 -1
0 4272 1 -1
0 4273 1 -1
0 4274 1 -1
0 4275 1 -1
0 4276 1 -1
0 4277 1 -1
0 4278 1 -1
0 4279 1 -1
0 4280 1 -1
0 4281 1 -1
0 4282 1 -1
0 4283 1 -1
0 4285 1 -1
0 4286 1 -1
0 4287 1 -1
0 4288 1 -1
0 4289 1 -1
0 4290 1 -1
0 4291 1 -1
0 4292 1 -1
0 4293 1 -1
0 4294 1 1
0 4337 1 1
0 4338 1 1
0 4339 1 1
0 4340 1 1
0 4341 1 1
0 4342 1 1
0 4343 1 1
0 4344 1 1
0 4345 1 1
0 4346 1 1
0 4348 1 -1
0 4349 1 -1
0 4350 1 -1
0 4351 1 -1
0 4352 1 -1
0 4353 1 -1
0 4354 1 -1
0 4355 1 -1
0 4356 1 -1
0 4357 1 1
0 4385 1 1
0 4386 1 1
0 4387 1 1
0 4388 1 1
0 4389 1 1
0 4390 1 1
0 4391 1 1
0 4392 1 1
0 4393 1 1
0 4394 1 1
0 4396 1 -1
0 4397 1 -1
0 4398 1 -1
0 4399 1 -1
0 4400 1 -1
0 4401 1 -1
0 4402 1 -1
0 4403 1 -1
0 4404 1 -1
0 4405 1 1
0 4614 1 1
0 4615 1 1
0 4616 1 1
0 4617 1 1
0 4618 1 1
0 4619 1 1
0 4620 1 1
0 4621 1 1
0 4622 1 1
0 4623 1 1
0 4625 1 -1
0 4626 1 -1
0 4627 1 -1
0 4628 1 -1
0 4629 1 -1
0 4630 1 -1
0 4631 1 -1
0 4632 1 -1
0 4633 1 -1
0 4634 1 1
0 4899 1 1
0 4900 1 1
0 4901 1 1
0 4902 1 1
0 4903 1 1
0 4904 1 1
0 4905 1 1
0 4906 1 1
0 4907 1 1
0 4908 1 1
0 4911 1 -1
0 4912 1 -1
0 4913 1 -1
0 4914 1 -1
0 4915 1 -1
0 4916 1 -1
0 4917 1 -1
0 4918 1 -1
0 4919 1 -1
0 4920 1 -1
0 4922 1 -1
0 4923 1 -1
0 4924 1 -1
0 4925 1 -1
0 4926 1 -1
0 4927 1 -1
0 4928 1 -1
0 4929 1 -1
0 4930 1 -1
0 4931 1 1
0 4933 1 -1
0 4934 1 -1
0 4935 1 -1
0 4936 1 -1
0 4937 1 -1
0 4938 1 -1
0 4939 1 -1
0 4940 1 -1
0 4941 1 -1
0 4942 1 -1
0 4943 1 -1
0 4944 1 -1
0 4945 1 -1
0 4946 1 -1
0 4947 1 -1
0 4948 1 -1
0 4949 1 -1
0 4950 1 -1
0 4951 1 -1
0 4953 1 -1
0 4954 1 -1
0 4955 1 -1
0 4956 1 -1
0 4957 1 -1
0 4958 1 -1
0 4959 1 -1
0 4960 1 -1
0 4961 1 -1
0 4962 1 1
0 5088 1 1
0 5089 1 1
0 5090 1 1
0 5091 1 1
0 5092 1 1
0 5093 1 1
0 5094 1 1
0 5095 1 1
0 5096 1 1
0 5097 1 1
0 5099 1 -1
0 5100 1 -1
0 5101 1 -1
0 5102 1 -1
0 5103 1 -1
0 5104 1 -1
0 5105 1 -1
0 5106 1 -1
0 5107 1 -1
0 5108 1 1
0 5651 1 1
0 5652 1 1
0 5653 1 1
0 5654 1 1
0 5655 1 1
0 5656 1 1
0 5657 1 1
0 5658 1 1
0 5659 1 1
0 5660 1 1
0 5662 1 -1
0 5663 1 -1
0 5664 1 -1
0 5665 1 -1
0 5666 1 -1
0 5667 1 -1
0 5668 1 -1
0 5669 1 -1
0 5670 1 -1
0 5671 1 1
0 5782 1 1
0 5783 1 1
0 5784 1 1
0 5785 1 1
0 5786 1 1
0 5787 1 1
0 5788 1 1
0 5789 1 1
0 5790 1 1
0 5791 1 1
0 5793 1 -1
0 5794 1 -1
0 5795 1 -1
0 5796 1 -1
0 5797 1 -1
0 5798 1 -1
0 5799 1 -1
0 5800 1 -1
0 5801 1 -1
0 5802 1 1
0 5920 1 1
0 5921 1 1
0 5922 1 1
0 5923 1 1
0 5924 1 1
0 5925 1 1
0 5926 1 1
0 5927 1 1
0 5928 1 1
0 5929 1 1
0 5931 1 -1
0 5932 1 -1
0 5933 1 -1
0 5934 1 -1
0 5935 1 -1
0 5936 1 -1
0 5937 1 -1
0 5938 1 -1
0 5939 1 -1
0 5940 1 1
0 6256 1 1
0 6257 1 1
0 6258 1 1
0 6259 1 1
0 6260 1 1
0 6261 1 1
0 6262 1 1
0 6263 1 1
0 6264 1 1
0 6265 1 1
0 6267 1 -1
0 6268 1 -1
0 6269 1 -1
0 6270 1 -1
0 6271 1 -1
0 6272 1 -1
0 6273 1 -1
0 6274 1 -1
0 6275 1 -1
0 6276 1 1
0 6298 1 1
0 6299 1 1
0 6300 1 1
0 6301 1 1
0 6302 1 1
0 6303 1 1
0 6304 1 1
0 6305 1 1
0 6306 1 1
0 6307 1 1
0 6309 1 -1
0 6310 1 -1
0 6311 1 -1
0 6312 1 -1
0 6313 1 -1
0 6314 1 -1
0 6315 1 -1
0 6316 1 -1
0 6317 1 -1
0 6318 1 1
0 6520 1 1
0 6521 1 1
0 6522 1 1
