virus_id virus source source_exposure_date rt
0 "covid 19" 8336 54 0
0 "covid 19" 8335 54 0
0 "covid 19" 8331 54 0
0 "covid 19" 8330 54 0
0 "covid 19" 8329 54 0
0 "covid 19" 8328 54 0
0 "covid 19" 8327 54 0
0 "covid 19" 8346 53 1
0 "covid 19" 8343 53 1
0 "covid 19" 8342 53 1
0 "covid 19" 8323 53 0
0 "covid 19" 8321 53 0
0 "covid 19" 8349 52 1
0 "covid 19" 8348 52 1
0 "covid 19" 8347 52 1
0 "covid 19" 8315 52 0
0 "covid 19" 8313 52 0
0 "covid 19" 8310 52 0
0 "covid 19" 8308 52 0
0 "covid 19" 8364 51 1
0 "covid 19" 8362 51 1
0 "covid 19" 8361 51 1
0 "covid 19" 8306 51 10
0 "covid 19" 8305 51 0
0 "covid 19" 8301 51 0
0 "covid 19" 8300 51 0
0 "covid 19" 8298 51 0
0 "covid 19" 8297 51 0
0 "covid 19" 8374 50 1
0 "covid 19" 8373 50 1
0 "covid 19" 8368 50 1
0 "covid 19" 8291 50 0
0 "covid 19" 8289 50 0
0 "covid 19" 8287 50 0
0 "covid 19" 8385 49 1
0 "covid 19" 8384 49 1
0 "covid 19" 8380 49 1
0 "covid 19" 8286 49 10
0 "covid 19" 8285 49 0
0 "covid 19" 8284 49 0
0 "covid 19" 8280 49 0
0 "covid 19" 8279 49 0
0 "covid 19" 8396 48 1
0 "covid 19" 8394 48 1
0 "covid 19" 8390 48 1
0 "covid 19" 8388 48 1
0 "covid 19" 8274 48 0
0 "covid 19" 8273 48 0
0 "covid 19" 8270 48 0
0 "covid 19" 8405 47 1
0 "covid 19" 8402 47 1
0 "covid 19" 8397 47 1
0 "covid 19" 8263 47 0
0 "covid 19" 8261 47 0
0 "covid 19" 8258 47 0
0 "covid 19" 8414 46 1
0 "covid 19" 8411 46 1
0 "covid 19" 8408 46 1
0 "covid 19" 8407 46 1
0 "covid 19" 8254 46 0
0 "covid 19" 8252 46 0
0 "covid 19" 8423 45 1
0 "covid 19" 8422 45 1
0 "covid 19" 8418 45 1
0 "covid 19" 8245 45 0
0 "covid 19" 8434 44 1
0 "covid 19" 8431 44 1
0 "covid 19" 8429 44 1
0 "covid 19" 8428 44 1
0 "covid 19" 8427 44 1
0 "covid 19" 8236 44 10
0 "covid 19" 8446 43 1
0 "covid 19" 8443 43 1
0 "covid 19" 8442 43 1
0 "covid 19" 8440 43 1
0 "covid 19" 8438 43 1
0 "covid 19" 8437 43 1
0 "covid 19" 8226 43 10
0 "covid 19" 8225 43 0
0 "covid 19" 8223 43 0
0 "covid 19" 8219 43 0
0 "covid 19" 8217 43 0
0 "covid 19" 8452 42 1
0 "covid 19" 8451 42 1
0 "covid 19" 8450 42 1
0 "covid 19" 8449 42 1
0 "covid 19" 8448 42 1
0 "covid 19" 8214 42 0
0 "covid 19" 8208 42 0
0 "covid 19" 8463 41 1
0 "covid 19" 8462 41 1
0 "covid 19" 8461 41 1
0 "covid 19" 8460 41 1
0 "covid 19" 8206 41 10
0 "covid 19" 8205 41 0
0 "covid 19" 8203 41 0
0 "covid 19" 8199 41 0
0 "covid 19" 8197 41 0
0 "covid 19" 8476 40 1
0 "covid 19" 8468 40 1
0 "covid 19" 8467 40 1
0 "covid 19" 8196 40 10
0 "covid 19" 8195 40 0
0 "covid 19" 8189 40 0
0 "covid 19" 8188 40 0
0 "covid 19" 8485 39 1
0 "covid 19" 8484 39 1
0 "covid 19" 8483 39 1
0 "covid 19" 8478 39 1
0 "covid 19" 8186 39 10
0 "covid 19" 8184 39 0
0 "covid 19" 8182 39 0
0 "covid 19" 8178 39 0
0 "covid 19" 8174 38 0
0 "covid 19" 8170 38 0
0 "covid 19" 8169 38 0
0 "covid 19" 9491 37 0
0 "covid 19" 9490 37 0
0 "covid 19" 9489 37 0
0 "covid 19" 9488 37 0
0 "covid 19" 9487 37 0
0 "covid 19" 8506 37 1
0 "covid 19" 8504 37 1
0 "covid 19" 8502 37 1
0 "covid 19" 8497 37 1
0 "covid 19" 8165 37 0
0 "covid 19" 8164 37 0
0 "covid 19" 8162 37 0
0 "covid 19" 8161 37 0
0 "covid 19" 8157 37 0
0 "covid 19" 9495 36 0
0 "covid 19" 9479 36 0
0 "covid 19" 9477 36 0
0 "covid 19" 8514 36 1
0 "covid 19" 8513 36 1
0 "covid 19" 8508 36 1
0 "covid 19" 8153 36 0
0 "covid 19" 8151 36 0
0 "covid 19" 9510 35 1
0 "covid 19" 9509 35 1
0 "covid 19" 9507 35 1
0 "covid 19" 9506 35 1
0 "covid 19" 9505 35 1
0 "covid 19" 9504 35 1
0 "covid 19" 9471 35 0
0 "covid 19" 9468 35 0
0 "covid 19" 8526 35 1
0 "covid 19" 8525 35 1
0 "covid 19" 8524 35 1
0 "covid 19" 8521 35 1
0 "covid 19" 8519 35 1
0 "covid 19" 8146 35 10
0 "covid 19" 8139 35 0
0 "covid 19" 8138 35 0
0 "covid 19" 9520 34 1
0 "covid 19" 9519 34 1
0 "covid 19" 9517 34 1
0 "covid 19" 9512 34 1
0 "covid 19" 9466 34 10
0 "covid 19" 9464 34 0
0 "covid 19" 9462 34 0
0 "covid 19" 9461 34 0
0 "covid 19" 9460 34 0
0 "covid 19" 9457 34 0
0 "covid 19" 8534 34 1
0 "covid 19" 8158 37 0
0 "covid 19" 8533 34 1
0 "covid 19" 8532 34 1
0 "covid 19" 8128 34 0
0 "covid 19" 8127 34 0
0 "covid 19" 9531 33 1
0 "covid 19" 9530 33 1
0 "covid 19" 9528 33 1
0 "covid 19" 9526 33 1
0 "covid 19" 9524 33 1
0 "covid 19" 9523 33 1
0 "covid 19" 9522 33 1
0 "covid 19" 9456 33 10
0 "covid 19" 9451 33 0
0 "covid 19" 9449 33 0
0 "covid 19" 8505 37 1
0 "covid 19" 9447 33 0
0 "covid 19" 8546 33 1
0 "covid 19" 8545 33 1
0 "covid 19" 8542 33 1
0 "covid 19" 8539 33 1
0 "covid 19" 8125 33 0
0 "covid 19" 8320 53 0
0 "covid 19" 8123 33 0
