date id state n
0 0 Susceptible 4988
0 0 Exposed 12
0 0 Recovered 0
0 0 Removed 0
1 1 Susceptible 0
1 1 Exposed 0
1 1 Recovered 5
1 1 Removed 0
1 0 Susceptible 4533
1 0 Exposed 465
1 0 Recovered 2
1 0 Removed 0
2 1 Susceptible 0
2 1 Exposed 0
2 1 Recovered 135
2 1 Removed 14
2 0 Susceptible 4120
2 0 Exposed 812
2 0 Recovered 63
2 0 Removed 5
3 1 Susceptible 0
3 1 Exposed 0
3 1 Recovered 394
3 1 Removed 25
3 0 Susceptible 3742
3 0 Exposed 1062
3 0 Recovered 188
3 0 Removed 8
4 1 Susceptible 0
4 1 Exposed 0
4 1 Recovered 684
4 1 Removed 38
4 0 Susceptible 3409
4 0 Exposed 1254
4 0 Recovered 323
4 0 Removed 14
5 1 Susceptible 0
5 1 Exposed 0
5 1 Recovered 1014
5 1 Removed 62
5 0 Susceptible 3061
5 0 Exposed 1414
5 0 Recovered 497
5 0 Removed 28
6 1 Susceptible 0
6 1 Exposed 0
6 1 Recovered 1384
6 1 Removed 83
6 0 Susceptible 2770
6 0 Exposed 1531
6 0 Recovered 659
6 0 Removed 40
7 1 Susceptible 0
7 1 Exposed 0
7 1 Recovered 1795
7 1 Removed 106
7 0 Susceptible 2519
7 0 Exposed 1559
7 0 Recovered 868
7 0 Removed 54
8 1 Susceptible 0
8 1 Exposed 0
8 1 Recovered 2233
8 1 Removed 133
8 0 Susceptible 2295
8 0 Exposed 1559
8 0 Recovered 1080
8 0 Removed 66
9 1 Susceptible 0
9 1 Exposed 0
9 1 Recovered 2656
9 1 Removed 156
9 0 Susceptible 2089
9 0 Exposed 1559
9 0 Recovered 1272
9 0 Removed 80
10 1 Susceptible 0
10 1 Exposed 0
10 1 Recovered 3105
10 1 Removed 180
10 0 Susceptible 1897
10 0 Exposed 1508
10 0 Recovered 1502
10 0 Removed 93
11 1 Susceptible 0
11 1 Exposed 0
11 1 Recovered 3524
11 1 Removed 220
11 0 Susceptible 1715
11 0 Exposed 1462
11 0 Recovered 1710
11 0 Removed 113
12 1 Susceptible 0
12 1 Exposed 0
12 1 Recovered 3906
12 1 Removed 243
12 0 Susceptible 1567
12 0 Exposed 1401
12 0 Recovered 1906
12 0 Removed 126
13 1 Susceptible 0
13 1 Exposed 0
13 1 Recovered 4344
13 1 Removed 273
13 0 Susceptible 1422
13 0 Exposed 1314
13 0 Recovered 2125
13 0 Removed 139
14 1 Susceptible 0
14 1 Exposed 0
14 1 Recovered 4755
14 1 Removed 308
14 0 Susceptible 1300
14 0 Exposed 1200
14 0 Recovered 2344
14 0 Removed 156
15 1 Susceptible 0
15 1 Exposed 0
15 1 Recovered 5084
15 1 Removed 333
15 0 Susceptible 1200
15 0 Exposed 1128
15 0 Recovered 2511
15 0 Removed 161
16 1 Susceptible 0
16 1 Exposed 0
16 1 Recovered 5384
16 1 Removed 349
16 0 Susceptible 1093
16 0 Exposed 1062
16 0 Recovered 2680
16 0 Removed 165
17 1 Susceptible 0
17 1 Exposed 0
17 1 Recovered 5661
17 1 Removed 367
17 0 Susceptible 1011
17 0 Exposed 990
17 0 Recovered 2828
17 0 Removed 171
18 1 Susceptible 0
18 1 Exposed 0
18 1 Recovered 5966
18 1 Removed 389
18 0 Susceptible 944
18 0 Exposed 879
18 0 Recovered 2993
18 0 Removed 184
19 1 Susceptible 0
19 1 Exposed 0
19 1 Recovered 6202
19 1 Removed 405
19 0 Susceptible 876
19 0 Exposed 827
19 0 Recovered 3105
19 0 Removed 192
20 1 Susceptible 0
20 1 Exposed 0
20 1 Recovered 6462
20 1 Removed 419
20 0 Susceptible 802
20 0 Exposed 765
20 0 Recovered 3232
20 0 Removed 201
21 1 Susceptible 0
21 1 Exposed 0
21 1 Recovered 6701
21 1 Removed 431
21 0 Susceptible 728
21 0 Exposed 716
21 0 Recovered 3348
21 0 Removed 208
22 1 Susceptible 0
22 1 Exposed 0
22 1 Recovered 6927
22 1 Removed 440
22 0 Susceptible 671
22 0 Exposed 658
22 0 Recovered 3458
22 0 Removed 213
23 1 Susceptible 0
23 1 Exposed 0
23 1 Recovered 7137
23 1 Removed 448
23 0 Susceptible 605
23 0 Exposed 614
23 0 Recovered 3563
23 0 Removed 218
24 1 Susceptible 0
24 1 Exposed 0
24 1 Recovered 7298
24 1 Removed 465
24 0 Susceptible 530
24 0 Exposed 592
24 0 Recovered 3651
24 0 Removed 227
25 1 Susceptible 0
25 1 Exposed 0
25 1 Recovered 7477
25 1 Removed 475
25 0 Susceptible 481
25 0 Exposed 539
25 0 Recovered 3747
25 0 Removed 233
26 1 Susceptible 0
26 1 Exposed 0
26 1 Recovered 7640
26 1 Removed 477
26 0 Susceptible 423
26 0 Exposed 507
26 0 Recovered 3836
26 0 Removed 234
27 1 Susceptible 0
27 1 Exposed 0
27 1 Recovered 7800
27 1 Removed 489
27 0 Susceptible 380
27 0 Exposed 469
27 0 Recovered 3909
27 0 Removed 242
28 1 Susceptible 0
28 1 Exposed 0
28 1 Recovered 7924
28 1 Removed 496
28 0 Susceptible 342
28 0 Exposed 435
28 0 Recovered 3977
28 0 Removed 246
29 1 Susceptible 0
29 1 Exposed 0
29 1 Recovered 8053
29 1 Removed 510
29 0 Susceptible 315
29 0 Exposed 391
29 0 Recovered 4041
29 0 Removed 253
30 1 Susceptible 0
30 1 Exposed 0
30 1 Recovered 8178
30 1 Removed 515
30 0 Susceptible 295
30 0 Exposed 354
30 0 Recovered 4096
30 0 Removed 255
31 1 Susceptible 0
31 1 Exposed 0
31 1 Recovered 8275
31 1 Removed 519
31 0 Susceptible 277
31 0 Exposed 325
31 0 Recovered 4142
31 0 Removed 256
32 1 Susceptible 0
32 1 Exposed 0
32 1 Recovered 8370
32 1 Removed 521
32 0 Susceptible 262
32 0 Exposed 292
32 0 Recovered 4188
32 0 Removed 258
33 1 Susceptible 0
33 1 Exposed 0
33 1 Recovered 8459
33 1 Removed 527
33 0 Susceptible 242
33 0 Exposed 273
33 0 Recovered 4225
33 0 Removed 260
34 1 Susceptible 0
34 1 Exposed 0
34 1 Recovered 8536
34 1 Removed 531
34 0 Susceptible 220
34 0 Exposed 248
34 0 Recovered 4270
34 0 Removed 262
35 1 Susceptible 0
35 1 Exposed 0
35 1 Recovered 8603
35 1 Removed 539
35 0 Susceptible 197
35 0 Exposed 232
35 0 Recovered 4305
35 0 Removed 266
36 1 Susceptible 0
36 1 Exposed 0
36 1 Recovered 8669
36 1 Removed 548
36 0 Susceptible 181
36 0 Exposed 209
36 0 Recovered 4337
36 0 Removed 273
37 1 Susceptible 0
37 1 Exposed 0
37 1 Recovered 8728
37 1 Removed 555
37 0 Susceptible 168
37 0 Exposed 196
37 0 Recovered 4362
37 0 Removed 274
38 1 Susceptible 0
38 1 Exposed 0
38 1 Recovered 8783
38 1 Removed 562
38 0 Susceptible 156
38 0 Exposed 173
38 0 Recovered 4393
38 0 Removed 278
39 1 Susceptible 0
39 1 Exposed 0
39 1 Recovered 8824
39 1 Removed 563
39 0 Susceptible 144
39 0 Exposed 161
39 0 Recovered 4416
39 0 Removed 279
40 1 Susceptible 0
40 1 Exposed 0
40 1 Recovered 8868
40 1 Removed 567
40 0 Susceptible 131
40 0 Exposed 149
40 0 Recovered 4439
40 0 Removed 281
41 1 Susceptible 0
41 1 Exposed 0
41 1 Recovered 8912
41 1 Removed 568
41 0 Susceptible 120
41 0 Exposed 138
41 0 Recovered 4460
41 0 Removed 282
42 1 Susceptible 0
42 1 Exposed 0
42 1 Recovered 8952
42 1 Removed 570
42 0 Susceptible 111
42 0 Exposed 123
42 0 Recovered 4484
42 0 Removed 282
43 1 Susceptible 0
43 1 Exposed 0
43 1 Recovered 8983
43 1 Removed 575
43 0 Susceptible 104
43 0 Exposed 115
43 0 Recovered 4498
43 0 Removed 283
44 1 Susceptible 0
44 1 Exposed 0
