date nviruses state counts
0 1 "Susceptible" 9950
0 1 "Exposed" 50
0 1 "Recovered" 0
0 1 "Removed" 0
1 1 "Susceptible" 9019
1 1 "Exposed" 976
1 1 "Recovered" 5
1 1 "Removed" 0
2 1 "Susceptible" 8189
2 1 "Exposed" 1662
2 1 "Recovered" 135
2 1 "Removed" 14
3 1 "Susceptible" 7437
3 1 "Exposed" 2144
3 1 "Recovered" 394
3 1 "Removed" 25
4 1 "Susceptible" 6769
4 1 "Exposed" 2509
4 1 "Recovered" 684
4 1 "Removed" 38
5 1 "Susceptible" 6121
5 1 "Exposed" 2803
5 1 "Recovered" 1014
5 1 "Removed" 62
6 1 "Susceptible" 5558
6 1 "Exposed" 2975
6 1 "Recovered" 1384
6 1 "Removed" 83
7 1 "Susceptible" 5035
7 1 "Exposed" 3064
7 1 "Recovered" 1795
7 1 "Removed" 106
8 1 "Susceptible" 4574
8 1 "Exposed" 3060
8 1 "Recovered" 2233
8 1 "Removed" 133
9 1 "Susceptible" 4163
9 1 "Exposed" 3025
9 1 "Recovered" 2656
9 1 "Removed" 156
10 1 "Susceptible" 3770
10 1 "Exposed" 2945
10 1 "Recovered" 3105
10 1 "Removed" 180
11 1 "Susceptible" 3410
11 1 "Exposed" 2846
11 1 "Recovered" 3524
11 1 "Removed" 220
12 1 "Susceptible" 3098
12 1 "Exposed" 2753
12 1 "Recovered" 3906
12 1 "Removed" 243
13 1 "Susceptible" 2812
13 1 "Exposed" 2571
13 1 "Recovered" 4344
13 1 "Removed" 273
14 1 "Susceptible" 2563
14 1 "Exposed" 2374
14 1 "Recovered" 4755
14 1 "Removed" 308
15 1 "Susceptible" 2359
15 1 "Exposed" 2224
15 1 "Recovered" 5084
15 1 "Removed" 333
16 1 "Susceptible" 2166
16 1 "Exposed" 2101
16 1 "Recovered" 5384
16 1 "Removed" 349
17 1 "Susceptible" 2000
17 1 "Exposed" 1972
17 1 "Recovered" 5661
17 1 "Removed" 367
18 1 "Susceptible" 1860
18 1 "Exposed" 1785
18 1 "Recovered" 5966
18 1 "Removed" 389
19 1 "Susceptible" 1720
19 1 "Exposed" 1673
19 1 "Recovered" 6202
19 1 "Removed" 405
20 1 "Susceptible" 1580
20 1 "Exposed" 1539
20 1 "Recovered" 6462
20 1 "Removed" 419
21 1 "Susceptible" 1440
21 1 "Exposed" 1428
21 1 "Recovered" 6701
21 1 "Removed" 431
22 1 "Susceptible" 1315
22 1 "Exposed" 1318
22 1 "Recovered" 6927
22 1 "Removed" 440
23 1 "Susceptible" 1195
23 1 "Exposed" 1220
23 1 "Recovered" 7137
23 1 "Removed" 448
24 1 "Susceptible" 1075
24 1 "Exposed" 1162
24 1 "Recovered" 7298
24 1 "Removed" 465
25 1 "Susceptible" 966
25 1 "Exposed" 1082
25 1 "Recovered" 7477
25 1 "Removed" 475
26 1 "Susceptible" 866
26 1 "Exposed" 1017
26 1 "Recovered" 7640
26 1 "Removed" 477
27 1 "Susceptible" 780
27 1 "Exposed" 931
27 1 "Recovered" 7800
27 1 "Removed" 489
28 1 "Susceptible" 700
28 1 "Exposed" 880
28 1 "Recovered" 7924
28 1 "Removed" 496
29 1 "Susceptible" 638
29 1 "Exposed" 799
29 1 "Recovered" 8053
29 1 "Removed" 510
30 1 "Susceptible" 595
30 1 "Exposed" 712
30 1 "Recovered" 8178
30 1 "Removed" 515
31 1 "Susceptible" 555
31 1 "Exposed" 651
31 1 "Recovered" 8275
31 1 "Removed" 519
32 1 "Susceptible" 515
32 1 "Exposed" 594
32 1 "Recovered" 8370
32 1 "Removed" 521
33 1 "Susceptible" 475
33 1 "Exposed" 539
33 1 "Recovered" 8459
33 1 "Removed" 527
34 1 "Susceptible" 435
34 1 "Exposed" 498
34 1 "Recovered" 8536
34 1 "Removed" 531
35 1 "Susceptible" 395
35 1 "Exposed" 463
35 1 "Recovered" 8603
35 1 "Removed" 539
36 1 "Susceptible" 355
36 1 "Exposed" 428
36 1 "Recovered" 8669
36 1 "Removed" 548
37 1 "Susceptible" 330
37 1 "Exposed" 387
37 1 "Recovered" 8728
37 1 "Removed" 555
38 1 "Susceptible" 310
38 1 "Exposed" 345
38 1 "Recovered" 8783
38 1 "Removed" 562
39 1 "Susceptible" 290
39 1 "Exposed" 323
39 1 "Recovered" 8824
39 1 "Removed" 563
40 1 "Susceptible" 270
40 1 "Exposed" 295
40 1 "Recovered" 8868
40 1 "Removed" 567
41 1 "Susceptible" 250
41 1 "Exposed" 270
41 1 "Recovered" 8912
41 1 "Removed" 568
42 1 "Susceptible" 230
42 1 "Exposed" 248
42 1 "Recovered" 8952
42 1 "Removed" 570
43 1 "Susceptible" 210
43 1 "Exposed" 232
43 1 "Recovered" 8983
43 1 "Removed" 575
44 1 "Susceptible" 190
44 1 "Exposed" 223
44 1 "Recovered" 9012
44 1 "Removed" 575
45 1 "Susceptible" 170
45 1 "Exposed" 208
45 1 "Recovered" 9046
45 1 "Removed" 576
46 1 "Susceptible" 150
46 1 "Exposed" 192
46 1 "Recovered" 9078
46 1 "Removed" 580
47 1 "Susceptible" 130
47 1 "Exposed" 184
47 1 "Recovered" 9102
47 1 "Removed" 584
48 1 "Susceptible" 110
48 1 "Exposed" 166
48 1 "Recovered" 9138
48 1 "Removed" 586
49 1 "Susceptible" 90
49 1 "Exposed" 161
49 1 "Recovered" 9161
49 1 "Removed" 588
50 1 "Susceptible" 70
50 1 "Exposed" 161
50 1 "Recovered" 9181
50 1 "Removed" 588
51 1 "Susceptible" 50
51 1 "Exposed" 158
51 1 "Recovered" 9203
51 1 "Removed" 589
52 1 "Susceptible" 30
52 1 "Exposed" 151
52 1 "Recovered" 9228
52 1 "Removed" 591
53 1 "Susceptible" 10
53 1 "Exposed" 147
53 1 "Recovered" 9250
53 1 "Removed" 593
54 1 "Susceptible" 0
54 1 "Exposed" 129
54 1 "Recovered" 9278
54 1 "Removed" 593
55 1 "Susceptible" 0
55 1 "Exposed" 112
55 1 "Recovered" 9293
55 1 "Removed" 595
56 1 "Susceptible" 0
56 1 "Exposed" 94
56 1 "Recovered" 9310
56 1 "Removed" 596
57 1 "Susceptible" 0
57 1 "Exposed" 79
57 1 "Recovered" 9324
