date from to counts
0 "Susceptible" "Susceptible" 9950
0 "Susceptible" "Exposed" 50
1 "Susceptible" "Susceptible" 9019
1 "Susceptible" "Exposed" 931
1 "Exposed" "Exposed" 45
1 "Exposed" "Recovered" 5
2 "Susceptible" "Susceptible" 8189
2 "Susceptible" "Exposed" 830
2 "Exposed" "Exposed" 832
2 "Exposed" "Recovered" 130
2 "Exposed" "Removed" 14
2 "Recovered" "Recovered" 5
3 "Susceptible" "Susceptible" 7437
3 "Susceptible" "Exposed" 752
3 "Exposed" "Exposed" 1392
3 "Exposed" "Recovered" 259
3 "Exposed" "Removed" 11
3 "Recovered" "Recovered" 135
3 "Removed" "Removed" 14
4 "Susceptible" "Susceptible" 6769
4 "Susceptible" "Exposed" 668
4 "Exposed" "Exposed" 1841
4 "Exposed" "Recovered" 290
4 "Exposed" "Removed" 13
4 "Recovered" "Recovered" 394
4 "Removed" "Removed" 25
5 "Susceptible" "Susceptible" 6121
5 "Susceptible" "Exposed" 648
5 "Exposed" "Exposed" 2155
5 "Exposed" "Recovered" 330
5 "Exposed" "Removed" 24
5 "Recovered" "Recovered" 684
5 "Removed" "Removed" 38
6 "Susceptible" "Susceptible" 5558
6 "Susceptible" "Exposed" 563
6 "Exposed" "Exposed" 2412
6 "Exposed" "Recovered" 370
6 "Exposed" "Removed" 21
6 "Recovered" "Recovered" 1014
6 "Removed" "Removed" 62
7 "Susceptible" "Susceptible" 5035
7 "Susceptible" "Exposed" 523
7 "Exposed" "Exposed" 2541
7 "Exposed" "Recovered" 411
7 "Exposed" "Removed" 23
7 "Recovered" "Recovered" 1384
7 "Removed" "Removed" 83
8 "Susceptible" "Susceptible" 4574
8 "Susceptible" "Exposed" 461
8 "Exposed" "Exposed" 2599
8 "Exposed" "Recovered" 438
8 "Exposed" "Removed" 27
8 "Recovered" "Recovered" 1795
8 "Removed" "Removed" 106
9 "Susceptible" "Susceptible" 4163
9 "Susceptible" "Exposed" 411
9 "Exposed" "Exposed" 2614
9 "Exposed" "Recovered" 423
9 "Exposed" "Removed" 23
9 "Recovered" "Recovered" 2233
9 "Removed" "Removed" 133
10 "Susceptible" "Susceptible" 3770
10 "Susceptible" "Exposed" 393
10 "Exposed" "Exposed" 2552
10 "Exposed" "Recovered" 449
10 "Exposed" "Removed" 24
10 "Recovered" "Recovered" 2656
10 "Removed" "Removed" 156
11 "Susceptible" "Susceptible" 3410
