date virus_id virus source_exposure_date source target
0 0 "covid 19" 0 -1 7129
0 0 "covid 19" 0 -1 4284
0 0 "covid 19" 0 -1 6907
0 0 "covid 19" 0 -1 7189
0 0 "covid 19" 0 -1 4909
0 0 "covid 19" 0 -1 7796
0 0 "covid 19" 0 -1 4106
0 0 "covid 19" 0 -1 5792
0 0 "covid 19" 0 -1 1398
0 0 "covid 19" 0 -1 4006
0 0 "covid 19" 0 -1 6266
0 0 "covid 19" 0 -1 3237
0 0 "covid 19" 0 -1 2444
0 0 "covid 19" 0 -1 6938
0 0 "covid 19" 0 -1 5930
0 0 "covid 19" 0 -1 6308
0 0 "covid 19" 0 -1 4395
0 0 "covid 19" 0 -1 835
0 0 "covid 19" 0 -1 7110
0 0 "covid 19" 0 -1 4270
0 0 "covid 19" 0 -1 2971
0 0 "covid 19" 0 -1 4910
0 0 "covid 19" 0 -1 7386
0 0 "covid 19" 0 -1 3569
0 0 "covid 19" 0 -1 4162
0 0 "covid 19" 0 -1 6530
0 0 "covid 19" 0 -1 3728
0 0 "covid 19" 0 -1 2338
0 0 "covid 19" 0 -1 9852
0 0 "covid 19" 0 -1 7637
0 0 "covid 19" 0 -1 7746
0 0 "covid 19" 0 -1 278
0 0 "covid 19" 0 -1 1733
0 0 "covid 19" 0 -1 1535
0 0 "covid 19" 0 -1 768
0 0 "covid 19" 0 -1 8867
0 0 "covid 19" 0 -1 7476
0 0 "covid 19" 0 -1 6908
0 0 "covid 19" 0 -1 5098
0 0 "covid 19" 0 -1 4624
0 0 "covid 19" 0 -1 5661
0 0 "covid 19" 0 -1 3013
0 0 "covid 19" 0 -1 4952
0 0 "covid 19" 0 -1 6803
0 0 "covid 19" 0 -1 9126
0 0 "covid 19" 0 -1 1084
0 0 "covid 19" 0 -1 4932
0 0 "covid 19" 0 -1 2317
0 0 "covid 19" 0 -1 4347
0 0 "covid 19" 0 -1 7478
1 0 "covid 19" 0 278 268
1 0 "covid 19" 0 278 269
1 0 "covid 19" 0 278 270
1 0 "covid 19" 0 278 271
1 0 "covid 19" 0 278 272
1 0 "covid 19" 0 278 273
1 0 "covid 19" 0 278 274
1 0 "covid 19" 0 278 275
1 0 "covid 19" 0 278 276
1 0 "covid 19" 0 278 277
1 0 "covid 19" 0 278 279
1 0 "covid 19" 0 278 280
1 0 "covid 19" 0 278 281
1 0 "covid 19" 0 278 282
1 0 "covid 19" 0 278 283
1 0 "covid 19" 0 278 284
1 0 "covid 19" 0 278 285
1 0 "covid 19" 0 278 286
1 0 "covid 19" 0 278 287
1 0 "covid 19" 0 278 288
1 0 "covid 19" 0 768 758
1 0 "covid 19" 0 768 759
1 0 "covid 19" 0 768 760
1 0 "covid 19" 0 768 761
1 0 "covid 19" 0 768 762
1 0 "covid 19" 0 768 763
1 0 "covid 19" 0 768 764
1 0 "covid 19" 0 768 765
1 0 "covid 19" 0 768 766
1 0 "covid 19" 0 768 767
1 0 "covid 19" 0 768 769
1 0 "covid 19" 0 768 770
1 0 "covid 19" 0 768 771
1 0 "covid 19" 0 768 772
1 0 "covid 19" 0 768 773
1 0 "covid 19" 0 768 774
1 0 "covid 19" 0 768 775
1 0 "covid 19" 0 768 776
1 0 "covid 19" 0 768 777
1 0 "covid 19" 0 768 778
1 0 "covid 19" 0 835 825
1 0 "covid 19" 0 835 826
1 0 "covid 19" 0 835 827
1 0 "covid 19" 0 835 828
1 0 "covid 19" 0 835 829
1 0 "covid 19" 0 835 830
1 0 "covid 19" 0 835 831
1 0 "covid 19" 0 835 832
1 0 "covid 19" 0 835 833
1 0 "covid 19" 0 835 834
1 0 "covid 19" 0 835 836
1 0 "covid 19" 0 835 837
1 0 "covid 19" 0 835 838
1 0 "covid 19" 0 835 839
1 0 "covid 19" 0 835 840
1 0 "covid 19" 0 835 841
1 0 "covid 19" 0 835 842
1 0 "covid 19" 0 835 843
1 0 "covid 19" 0 835 844
1 0 "covid 19" 0 835 845
1 0 "covid 19" 0 1084 1074
1 0 "covid 19" 0 1084 1075
1 0 "covid 19" 0 1084 1076
1 0 "covid 19" 0 1084 1077
1 0 "covid 19" 0 1084 1078
1 0 "covid 19" 0 1084 1079
1 0 "covid 19" 0 1084 1080
1 0 "covid 19" 0 1084 1081
1 0 "covid 19" 0 1084 1082
1 0 "covid 19" 0 1084 1083
1 0 "covid 19" 0 1084 1085
1 0 "covid 19" 0 1084 1086
1 0 "covid 19" 0 1084 1087
1 0 "covid 19" 0 1084 1088
1 0 "covid 19" 0 1084 1089
1 0 "covid 19" 0 1084 1090
1 0 "covid 19" 0 1084 1091
1 0 "covid 19" 0 1084 1092
1 0 "covid 19" 0 1084 1093
1 0 "covid 19" 0 1084 1094
1 0 "covid 19" 0 1398 1388
1 0 "covid 19" 0 1398 1389
1 0 "covid 19" 0 1398 1390
1 0 "covid 19" 0 1398 1391
1 0 "covid 19" 0 1398 1392
1 0 "covid 19" 0 1398 1393
1 0 "covid 19" 0 1398 1394
1 0 "covid 19" 0 1398 1395
1 0 "covid 19" 0 1398 1396
1 0 "covid 19" 0 1398 1397
1 0 "covid 19" 0 1398 1399
