date virus_id virus state n
0 0 "covid 19" Susceptible 0
0 0 "covid 19" Exposed 50
0 0 "covid 19" Recovered 0
0 0 "covid 19" Removed 0
1 0 "covid 19" Susceptible 0
1 0 "covid 19" Exposed 976
1 0 "covid 19" Recovered 0
1 0 "covid 19" Removed 0
2 0 "covid 19" Susceptible 0
2 0 "covid 19" Exposed 1662
2 0 "covid 19" Recovered 0
2 0 "covid 19" Removed 0
3 0 "covid 19" Susceptible 0
3 0 "covid 19" Exposed 2144
3 0 "covid 19" Recovered 0
3 0 "covid 19" Removed 0
4 0 "covid 19" Susceptible 0
4 0 "covid 19" Exposed 2509
4 0 "covid 19" Recovered 0
4 0 "covid 19" Removed 0
5 0 "covid 19" Susceptible 0
5 0 "covid 19" Exposed 2803
5 0 "covid 19" Recovered 0
5 0 "covid 19" Removed 0
6 0 "covid 19" Susceptible 0
6 0 "covid 19" Exposed 2975
6 0 "covid 19" Recovered 0
6 0 "covid 19" Removed 0
7 0 "covid 19" Susceptible 0
7 0 "covid 19" Exposed 3064
7 0 "covid 19" Recovered 0
7 0 "covid 19" Removed 0
8 0 "covid 19" Susceptible 0
8 0 "covid 19" Exposed 3060
8 0 "covid 19" Recovered 0
8 0 "covid 19" Removed 0
9 0 "covid 19" Susceptible 0
9 0 "covid 19" Exposed 3025
9 0 "covid 19" Recovered 0
9 0 "covid 19" Removed 0
10 0 "covid 19" Susceptible 0
10 0 "covid 19" Exposed 2945
10 0 "covid 19" Recovered 0
10 0 "covid 19" Removed 0
11 0 "covid 19" Susceptible 0
11 0 "covid 19" Exposed 2846
11 0 "covid 19" Recovered 0
11 0 "covid 19" Removed 0
12 0 "covid 19" Susceptible 0
12 0 "covid 19" Exposed 2753
12 0 "covid 19" Recovered 0
12 0 "covid 19" Removed 0
13 0 "covid 19" Susceptible 0
13 0 "covid 19" Exposed 2571
13 0 "covid 19" Recovered 0
13 0 "covid 19" Removed 0
14 0 "covid 19" Susceptible 0
14 0 "covid 19" Exposed 2374
14 0 "covid 19" Recovered 0
14 0 "covid 19" Removed 0
15 0 "covid 19" Susceptible 0
15 0 "covid 19" Exposed 2224
15 0 "covid 19" Recovered 0
15 0 "covid 19" Removed 0
16 0 "covid 19" Susceptible 0
16 0 "covid 19" Exposed 2101
16 0 "covid 19" Recovered 0
16 0 "covid 19" Removed 0
17 0 "covid 19" Susceptible 0
17 0 "covid 19" Exposed 1972
17 0 "covid 19" Recovered 0
17 0 "covid 19" Removed 0
18 0 "covid 19" Susceptible 0
18 0 "covid 19" Exposed 1785
18 0 "covid 19" Recovered 0
18 0 "covid 19" Removed 0
19 0 "covid 19" Susceptible 0
19 0 "covid 19" Exposed 1673
19 0 "covid 19" Recovered 0
19 0 "covid 19" Removed 0
20 0 "covid 19" Susceptible 0
20 0 "covid 19" Exposed 1539
20 0 "covid 19" Recovered 0
20 0 "covid 19" Removed 0
21 0 "covid 19" Susceptible 0
21 0 "covid 19" Exposed 1428
21 0 "covid 19" Recovered 0
21 0 "covid 19" Removed 0
22 0 "covid 19" Susceptible 0
22 0 "covid 19" Exposed 1318
22 0 "covid 19" Recovered 0
22 0 "covid 19" Removed 0
23 0 "covid 19" Susceptible 0
23 0 "covid 19" Exposed 1220
